WMO,Deployment Date,Last Date,Model,Last Cycle,Mean Latitude,Mean Longitude
4902605,2023-12-01 06:02:00,2026-06-30 06:11:00,ARVOR float with SBE conductivity sensor,2026-06-30 06:11:00,4.270894736842105,-14.176815789473682
4902606,2023-06-10 16:51:00,2026-06-28 22:52:00,ARVOR float with SBE conductivity sensor,2026-06-28 22:52:00,35.62597297297297,-67.85310810810812
4902607,2023-12-01 00:36:00,2026-06-30 06:21:00,ARVOR float with SBE conductivity sensor,2026-06-30 06:21:00,3.666263157894737,-14.257026315789473
4902608,2023-10-22 20:32:00,2026-06-29 09:54:00,ARVOR float with SBE conductivity sensor,2026-06-29 09:54:00,40.40207894736842,-56.29910526315789
4902609,2024-05-16 17:54:00,2026-06-30 18:51:00,ARVOR float with SBE conductivity sensor,2026-06-30 18:51:00,18.966538461538462,-57.436692307692304
4902610,2023-09-19 01:26:00,2025-09-24 15:40:00,ARVOR float with SBE conductivity sensor,2025-09-24 15:40:00,74.07509090909092,-126.35781818181819
4902611,2023-10-03 22:05:00,2025-10-09 01:24:00,ARVOR float with SBE conductivity sensor,2025-10-09 01:24:00,73.97676923076924,-155.2605384615385
4902612,2022-07-11 18:47:00,2026-07-04 08:03:00,ARVOR float with SBE conductivity sensor,2026-07-04 08:03:00,53.402358974358975,-106.89312820512819
4902613,2022-09-29 03:08:00,2026-07-04 13:09:00,ARVOR float with SBE conductivity sensor,2026-07-04 13:09:00,56.30297435897435,-140.64848717948715
4902614,2023-06-04 04:42:00,2026-07-01 02:05:00,ARVOR float with SBE conductivity sensor,2026-07-01 02:05:00,51.246815789473686,-135.50142105263157
4902615,2024-07-03 11:07:00,2026-06-30 01:14:00,ARVOR float with SBE conductivity sensor,2026-06-30 01:14:00,35.531864864864865,-141.93654054054053
4902616,2022-06-22 07:16:00,2026-07-07 15:13:00,ARVOR float with SBE conductivity sensor,2026-07-07 15:13:00,57.320729729729734,-142.68764864864863
4902618,2023-12-11 05:53:00,2026-07-08 06:00:00,ARVOR float with RBR conductivity sensor,2026-07-08 06:00:00,-23.86546153846154,-3.230179487179487
4902619,2023-12-31 19:54:00,2026-06-29 11:03:00,ARVOR float with RBR conductivity sensor,2026-06-29 11:03:00,-29.586641025641022,-12.898282051282052
